shipping_id,destination,shipping_date,delivery_date
1,"58636 Rogers Island
North Anna, ND 92890",2024-01-19 08:12:59.849812,2024-05-01 19:25:29.908345
2,"90392 Brandon Forges
West Justinland, AZ 68312",2024-03-06 17:30:25.990873,2024-05-21 15:22:42.938071
3,"41489 Johnson Points
Gregoryborough, DE 56520",2024-03-29 08:50:49.946496,2024-04-22 00:12:31.689578
4,"5435 Jennifer Cliff
Port Abigail, MT 44515",2024-02-06 18:34:11.253073,2024-03-27 05:54:39.942103
5,"PSC 4547, Box 6481
APO AA 90663",2024-09-08 19:00:05.657789,2024-08-28 10:19:48.920044
6,"4348 Richard Plaza Apt. 213
Gabriellehaven, WI 50789",2024-05-31 06:23:23.615393,2024-06-16 20:02:00.752789
7,"9139 Smith Passage
North Anthony, NM 13945",2024-03-20 10:51:07.514657,2024-04-01 22:22:53.592885
8,"802 Walsh Brooks Apt. 183
New Mark, ND 44509",2024-02-08 17:47:42.336250,2024-01-22 08:50:06.325563
9,"Unit 9706 Box 4161
DPO AE 06417",2024-03-09 09:00:10.183198,2024-07-31 04:27:31.725017
10,"29582 Adrienne Fords Suite 917
West Ann, WY 43370",2024-09-13 08:14:20.028104,2024-03-06 11:27:59.070486
11,"4062 Garcia Highway
South Eric, FL 73891",2024-05-12 06:51:26.671433,2024-06-23 22:03:09.000655
12,"0207 Samantha Corners Suite 284
Nguyenfurt, NM 19235",2024-06-24 08:49:01.854800,2024-08-04 22:50:27.131691
13,"22512 Reynolds Valleys Apt. 490
North Raymondview, WI 12433",2024-07-30 01:56:37.662479,2024-07-12 13:01:02.744449
14,"1412 Hernandez Cliff
East Monica, MN 24058",2024-02-24 14:33:58.002078,2024-07-04 21:44:16.593737
15,"27959 Jamie Causeway
West Taylorland, CO 11721",2024-02-12 11:21:02.554837,2024-06-01 14:51:42.264097
16,"79052 Steele Mountain Apt. 527
Lake Melissa, MD 23757",2024-02-20 08:20:39.297548,2024-03-26 05:24:38.765926
17,"53637 Edward Flat Apt. 964
Palmermouth, MT 27240",2024-01-11 02:24:52.511482,2024-03-24 03:32:51.056951
18,"4423 Beth Ford Apt. 145
South Eddie, IN 78874",2024-08-10 19:46:25.247402,2024-01-06 19:37:20.426387
19,"069 Michael Wells Suite 913
Hoganland, UT 94828",2024-06-18 22:36:02.105878,2024-03-07 06:32:05.912318
20,"167 Mary Mountains Apt. 293
West Robert, LA 09034",2024-07-30 04:46:26.521366,2024-02-18 18:19:26.536441
21,"43685 Elizabeth Corners
New Thomas, UT 86544",2024-08-31 15:21:51.249421,2024-08-04 01:03:05.330152
22,"964 Michael Garden
South Jenniferchester, VT 97379",2024-03-07 09:41:33.132540,2024-02-21 13:45:50.843716
23,"5209 Richard Loaf
Ochoatown, NY 53682",2024-03-12 01:15:10.705394,2024-05-21 19:41:41.057330
24,"040 Smith Rest Apt. 267
Jensenland, MT 86039",2024-05-17 23:22:45.514066,2024-09-22 17:22:42.058404
25,"0825 Davidson Pines Suite 447
North Pamela, WA 66076",2024-03-25 20:10:59.874210,2024-07-06 14:10:05.879992
26,"8392 Jackson Groves Apt. 678
East John, PA 23519",2024-05-26 18:51:02.145274,2024-04-25 01:57:16.058436
27,"895 Brewer Forges Apt. 379
Jennabury, VI 96487",2024-08-30 17:33:14.201047,2024-02-11 10:21:49.297126
28,"Unit 1285 Box 2678
DPO AA 39969",2024-06-14 22:07:42.393702,2024-06-26 21:19:23.267977
29,"58708 Rodriguez Light Suite 229
Port Corey, SD 68230",2024-07-16 23:34:04.724029,2024-07-29 22:22:29.970320
30,"51928 Hoover Manor
Margaretview, MI 20532",2024-03-12 02:15:00.896674,2024-03-01 00:10:44.482603
31,"2565 Shawn Meadow
New Jeffrey, PW 73145",2024-07-13 04:33:06.852674,2024-08-04 00:15:22.137494
32,"6321 Torres Summit
West Christopher, SC 03217",2024-02-23 03:03:57.739830,2024-04-25 06:50:33.707501
33,"65726 Miller Circle Suite 456
Michaelport, ME 00872",2024-07-17 09:27:12.508679,2024-04-02 16:16:45.583086
34,"57628 Rivera Valley
Port Jacquelineside, OR 36680",2024-03-27 10:32:06.265244,2024-05-31 18:16:40.921266
35,"87081 Christina Garden
East Emily, NH 46289",2024-01-11 00:12:48.425727,2024-08-12 05:01:24.669261
36,"383 Justin Viaduct
Lake Thomas, OH 63555",2024-05-30 21:51:19.741795,2024-04-19 18:33:00.609773
37,"022 Ayala Heights Suite 387
Johnberg, NC 55822",2024-09-06 03:14:16.475466,2024-09-19 02:59:28.499259
38,"USS Morris
FPO AA 84682",2024-06-18 00:40:23.278627,2024-02-08 03:27:47.028401
39,"1032 Michael Mill Suite 424
Swansonborough, VI 59819",2024-02-25 20:33:12.556165,2024-09-11 11:35:18.298160
40,"5474 Mills Rest
Lake Brandi, RI 07516",2024-01-24 10:35:15.606883,2024-04-05 04:44:03.218312
41,"5678 Jenna Valleys
Lake Gregory, TX 48333",2024-01-01 04:10:06.338086,2024-08-26 11:48:44.044154
42,"477 Felicia Unions
Jamesside, MI 29969",2024-03-01 01:16:36.238945,2024-05-29 21:00:55.071906
43,"09377 David Mission Suite 318
Brittanychester, VI 68833",2024-02-06 17:43:22.808682,2024-08-24 02:16:19.497428
44,"54138 James Hills
East Jeffrey, AR 35824",2024-05-28 02:04:17.513708,2024-05-14 01:03:38.891543
45,"854 Mark Skyway Suite 861
South Staceyhaven, KS 13568",2024-03-17 04:58:16.555818,2024-05-04 20:19:41.402250
46,"3426 Jason Crossroad
South Tanya, NJ 93788",2024-08-17 05:20:08.702742,2024-01-30 15:26:02.882747
47,"168 Denise Lakes
New Loganmouth, IA 08556",2024-07-31 16:58:16.762834,2024-09-11 06:30:52.548568
48,"09549 Caitlyn Radial Suite 871
Leachville, MI 49470",2024-06-05 13:36:17.244339,2024-01-23 20:19:24.250075
49,"4525 Nicole Lane
Davidmouth, NV 13869",2024-08-21 17:45:17.037286,2024-08-02 21:46:13.868069
50,"386 Robert River Suite 968
North Chelsey, AS 48615",2024-06-21 02:43:13.336689,2024-03-13 07:45:03.446230
51,"64712 Kevin Ridges
North Alejandro, WA 26226",2024-09-18 13:54:54.581067,2024-06-08 07:41:14.219549
52,"9935 Armstrong Square Suite 461
Brownhaven, VT 35948",2024-07-17 00:09:26.727936,2024-01-27 22:15:12.467186
53,"52297 Vazquez Passage
Lake Tiffany, WY 45839",2024-09-09 18:59:23.884369,2024-04-16 03:09:19.952974
54,"9035 Steve Mall Apt. 048
West Dannyhaven, PW 97802",2024-08-17 02:57:09.922650,2024-05-01 19:13:28.659606
55,"676 Shaw Keys Suite 631
Port Amanda, NE 27348",2024-02-22 00:09:35.987209,2024-04-14 06:40:14.415346
56,"36887 Veronica Junctions
Lake Lauren, TX 01542",2024-02-09 23:19:28.520477,2024-03-17 18:20:12.805279
57,"45825 Myers Pass Apt. 226
South Natalietown, RI 49761",2024-08-08 07:12:20.767209,2024-01-23 14:53:05.323956
58,"42353 Martinez Divide Apt. 024
Bethland, OK 65827",2024-03-26 07:24:33.928818,2024-09-03 12:36:57.551569
59,"PSC 6775, Box 3610
APO AE 87942",2024-02-01 16:27:19.434590,2024-07-16 16:08:51.323036
60,"9650 Elizabeth Inlet Apt. 632
New Kevinside, IL 98600",2024-05-21 06:24:43.762964,2024-03-04 20:41:14.320298
61,"717 Hall Circle
Lewisshire, VT 88230",2024-06-18 13:14:40.909862,2024-09-20 02:56:04.697529
62,"195 Santos Locks
Port Kevin, NV 85670",2024-07-27 00:23:36.497500,2024-07-11 22:51:29.339027
63,"317 Kemp Lodge
Katiechester, NV 69702",2024-05-12 16:26:00.824288,2024-08-30 11:19:45.099614
64,"7015 Brooke Villages Apt. 345
East Sean, NM 23056",2024-08-04 19:40:24.258297,2024-04-02 04:10:16.597890
65,"162 Rodriguez Squares Apt. 813
New Virginiatown, AL 48782",2024-08-09 16:03:07.136965,2024-03-17 00:47:01.109527
66,"2284 Adam Village
Garciachester, VA 08326",2024-07-15 04:05:41.661627,2024-07-04 03:40:51.230903
67,"4076 Tucker Pike
North Tiffanytown, RI 33829",2024-07-05 22:04:55.875918,2024-02-16 18:22:30.498485
68,"519 Rebecca Overpass Apt. 760
Williamsonmouth, NE 95451",2024-03-08 05:14:19.765566,2024-06-26 14:13:55.999347
69,"1916 Shawn Trace
Geraldmouth, MH 08926",2024-01-24 18:18:38.831599,2024-02-02 00:18:40.019628
70,"Unit 5627 Box 7149
DPO AP 77867",2024-03-14 02:11:56.314206,2024-03-22 18:21:55.965245
71,"857 Horne Freeway Suite 625
South Meganville, NJ 17194",2024-09-15 04:18:33.162284,2024-06-04 12:48:28.585855
72,"1092 Edwards Stream
Kennethchester, GA 40427",2024-02-21 13:50:55.078484,2024-08-01 07:58:40.602428
73,"4013 Rodriguez Crossroad Suite 814
Bautistatown, MT 09622",2024-03-02 19:12:35.215830,2024-02-24 02:08:00.094837
74,"375 Patrick Mission Apt. 562
Port Barbara, UT 58237",2024-07-31 14:45:26.650526,2024-09-09 08:45:46.166257
75,"965 Perkins Springs Suite 137
Ashleyton, VA 18623",2024-05-12 10:37:25.447719,2024-08-02 03:31:57.402415
76,"22623 Fletcher Throughway Apt. 265
East Jacobberg, PR 34290",2024-06-06 14:59:59.686562,2024-01-08 00:22:20.801581
77,"429 Jordan Island Apt. 603
Jamesfurt, WY 94265",2024-02-01 10:25:37.392085,2024-06-07 23:09:04.637740
78,"053 Holly Valleys Apt. 723
Crystalborough, DE 47088",2024-02-15 08:28:39.910381,2024-07-30 09:52:09.690938
79,"1818 Robert Summit
Port Michelletown, TN 13545",2024-09-16 22:34:06.527654,2024-08-04 16:12:10.114315
80,"PSC 0780, Box 1913
APO AP 14189",2024-01-16 10:32:51.711869,2024-02-24 08:00:33.428024
